,Name,Ability,Ability Description,Extra Ability,Extra Ability Description,Hidden Ability,Hidden Ability Description
194,Wooper,Damp,Prevents the use of self-destructing moves.,Water Absorb,Restores HP if hit by a Water-type move.,Unaware,Ignores any stat changes in the Pokémon.
195,Quagsire,Damp,Prevents the use of self-destructing moves.,Water Absorb,Restores HP if hit by a Water-type move.,Unaware,Ignores any stat changes in the Pokémon.
196,Espeon,Synchronize,"Passes a burn, poison, or paralysis to the foe.",,,Magic Bounce,Reflects status- changing moves.
197,Umbreon,Synchronize,"Passes a burn, poison, or paralysis to the foe.",,,Inner Focus,The Pokémon is protected from flinching.
198,Murkrow,Insomnia,Prevents the Pokémon from falling asleep.,Super Luck,Heightens the critical-hit ratios of moves.,Prankster,Gives priority to a status move.
199,Slowking,Oblivious,Prevents it from becoming infatuated.,Own Tempo,Prevents the Pokémon from becoming confused.,Regenerator,Restores a little HP when withdrawn from battle.
200,Misdreavus,Levitate,Gives immunity to Ground type moves.,,,,
201,Unown,Levitate,Gives immunity to Ground type moves.,,,,
202,Wobbuffet,Shadow Tag,Prevents the foe from escaping.,,,Telepathy,Anticipates an ally's attack and dodges it.
203,Girafarig,Inner Focus,The Pokémon is protected from flinching.,Early Bird,The Pokémon awakens quickly from sleep.,Sap Sipper,Boosts Attack when hit by a Grass-type move.
204,Pineco,Sturdy,It cannot be knocked out with one hit.,,,Overcoat,Protects the Pokémon from weather damage.
205,Forretress,Sturdy,It cannot be knocked out with one hit.,,,Overcoat,Protects the Pokémon from weather damage.
206,Dunsparce,Serene Grace,Boosts the likelihood of added effects appearing.,Run Away,Enables a sure getaway from wild Pokémon.,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
207,Gligar,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,Immunity,Prevents the Pokémon from getting poisoned.
208,Steelix,Rock Head,Protects the Pokémon from recoil damage.,Sturdy,It cannot be knocked out with one hit.,Sheer Force,Removes added effects to increase move damage.
209,Snubbull,Intimidate,Lowers the foe's Attack stat.,Run Away,Enables a sure getaway from wild Pokémon.,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
210,Granbull,Intimidate,Lowers the foe's Attack stat.,Quick Feet,Boosts Speed if there is a status problem.,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
211,Qwilfish,Poison Point,Contact with the Pokémon may poison the attacker.,Swift Swim,Boosts the Pokémon's Speed in rain.,Intimidate,Lowers the foe's Attack stat.
212,Scizor,Swarm,Powers up Bug-type moves in a pinch.,Technician,Powers up the Pokémon's weaker moves.,Light Metal,Halves the Pokémon's weight.
213,Shuckle,Sturdy,It cannot be knocked out with one hit.,Gluttony,Encourages the early use of a held Berry.,Contrary,Makes stat changes have an opposite effect.
214,Heracross,Swarm,Powers up Bug-type moves in a pinch.,Guts,Boosts Attack if there is a status problem.,Moxie,Boosts Attack after knocking out any Pokémon.
215,Sneasel,Inner Focus,The Pokémon is protected from flinching.,Keen Eye,Prevents other Pokémon from lowering accuracy.,Pickpocket,Steals an item when hit by another Pokémon.
216,Teddiursa,Pickup,The Pokémon may pick up items.,Quick Feet,Boosts Speed if there is a status problem.,Honey Gather,The Pokémon may gather Honey from somewhere.
217,Ursaring,Guts,Boosts Attack if there is a status problem.,Quick Feet,Boosts Speed if there is a status problem.,Unnerve,Makes the foe nervous and unable to eat Berries.
218,Slugma,Magma Armor,Prevents the Pokémon from becoming frozen.,Flame Body,Contact with the Pokémon may burn the attacker.,Weak Armor,Physical attacks lower Defense and raise Speed.
219,Magcargo,Magma Armor,Prevents the Pokémon from becoming frozen.,Flame Body,Contact with the Pokémon may burn the attacker.,Weak Armor,Physical attacks lower Defense and raise Speed.
220,Swinub,Oblivious,Prevents it from becoming infatuated.,Snow Cloak,Raises evasion in a hailstorm.,Thick Fat,Ups resistance to Fire- and Ice-type moves.
221,Piloswine,Oblivious,Prevents it from becoming infatuated.,Snow Cloak,Raises evasion in a hailstorm.,Thick Fat,Ups resistance to Fire- and Ice-type moves.
222,Corsola,Hustle,"Boosts the Attack stat, but lowers accuracy.",Natural Cure,All status problems heal when it switches out.,Regenerator,Restores a little HP when withdrawn from battle.
223,Remoraid,Hustle,"Boosts the Attack stat, but lowers accuracy.",Sniper,Powers up moves if they become critical hits.,Moody,Raises one stat and lowers another.
224,Octillery,Suction Cups,Negates all moves that force switching out.,Sniper,Powers up moves if they become critical hits.,Moody,Raises one stat and lowers another.
225,Delibird,Vital Spirit,Prevents the Pokémon from falling asleep.,Hustle,"Boosts the Attack stat, but lowers accuracy.",Insomnia,Prevents the Pokémon from falling asleep.
226,Mantine,Swift Swim,Boosts the Pokémon's Speed in rain.,Water Absorb,Restores HP if hit by a Water-type move.,Water Veil,Prevents the Pokémon from getting a burn.
227,Skarmory,Keen Eye,Prevents other Pokémon from lowering accuracy.,Sturdy,It cannot be knocked out with one hit.,Weak Armor,Physical attacks lower Defense and raise Speed.
228,Houndour,Early Bird,The Pokémon awakens quickly from sleep.,Flash Fire,It powers up Fire-type moves if it's hit by one.,Unnerve,Makes the foe nervous and unable to eat Berries.
229,Houndoom,Early Bird,The Pokémon awakens quickly from sleep.,Flash Fire,It powers up Fire-type moves if it's hit by one.,Unnerve,Makes the foe nervous and unable to eat Berries.
230,Kingdra,Swift Swim,Boosts the Pokémon's Speed in rain.,Sniper,Powers up moves if they become critical hits.,Damp,Prevents the use of self-destructing moves.
231,Phanpy,Pickup,The Pokémon may pick up items.,,,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
232,Donphan,Sturdy,It cannot be knocked out with one hit.,,,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
233,Porygon2,Trace,The Pokémon copies a foe's Ability.,Download,Adjusts power according to a foe's defenses.,Analytic,Boosts move power when the Pokémon moves last.
234,Stantler,Intimidate,Lowers the foe's Attack stat.,Frisk,The Pokémon can check a foe's held item.,Sap Sipper,Boosts Attack when hit by a Grass-type move.
235,Smeargle,Own Tempo,Prevents the Pokémon from becoming confused.,Technician,Powers up the Pokémon's weaker moves.,Moody,Raises one stat and lowers another.
236,Tyrogue,Guts,Boosts Attack if there is a status problem.,Steadfast,Raises Speed each time the Pokémon flinches.,Vital Spirit,Prevents the Pokémon from falling asleep.
237,Hitmontop,Intimidate,Lowers the foe's Attack stat.,Technician,Powers up the Pokémon's weaker moves.,Steadfast,Raises Speed each time the Pokémon flinches.
238,Smoochum,Oblivious,Prevents it from becoming infatuated.,Forewarn,Determines what moves a foe has.,Hydration,Heals status problems if it is raining.
239,Elekid,Static,Contact with the Pokémon may cause paralysis.,,,Vital Spirit,Prevents the Pokémon from falling asleep.
240,Magby,Flame Body,Contact with the Pokémon may burn the attacker.,,,Vital Spirit,Prevents the Pokémon from falling asleep.
241,Miltank,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Scrappy,Enables moves to hit Ghost-type Pokémon.,Sap Sipper,Boosts Attack when hit by a Grass-type move.
242,Blissey,Natural Cure,All status problems heal when it switches out.,Serene Grace,Boosts the likelihood of added effects appearing.,Healer,May heal an ally's status conditions.
243,Raikou,Pressure,The Pokémon raises the foe's PP usage.,,,Inner Focus,The Pokémon is protected from flinching.
244,Entei,Pressure,The Pokémon raises the foe's PP usage.,,,Inner Focus,The Pokémon is protected from flinching.
245,Suicune,Pressure,The Pokémon raises the foe's PP usage.,,,Inner Focus,The Pokémon is protected from flinching.
246,Larvitar,Guts,Boosts Attack if there is a status problem.,,,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
247,Pupitar,Shed Skin,The Pokémon may heal its own status problems.,,,,
248,Tyranitar,Sand Stream,The Pokémon summons a sandstorm in battle.,,,Unnerve,Makes the foe nervous and unable to eat Berries.
249,Lugia,Pressure,The Pokémon raises the foe's PP usage.,,,Multiscale,Reduces damage when HP is full.
250,Ho-oh,Pressure,The Pokémon raises the foe's PP usage.,,,Regenerator,Restores a little HP when withdrawn from battle.
251,Celebi,Natural Cure,All status problems heal when it switches out.,,,,
252,Treecko,Overgrow,Powers up Grass-type moves in a pinch.,,,Unburden,Raises Speed if a held item is used.
253,Grovyle,Overgrow,Powers up Grass-type moves in a pinch.,,,Unburden,Raises Speed if a held item is used.
254,Sceptile,Overgrow,Powers up Grass-type moves in a pinch.,,,Unburden,Raises Speed if a held item is used.
255,Torchic,Blaze,Powers up Fire-type moves in a pinch.,,,Speed Boost,Its Speed stat is gradually boosted.
256,Combusken,Blaze,Powers up Fire-type moves in a pinch.,,,Speed Boost,Its Speed stat is gradually boosted.
257,Blaziken,Blaze,Powers up Fire-type moves in a pinch.,,,Speed Boost,Its Speed stat is gradually boosted.
258,Mudkip,Torrent,Powers up Water-type moves in a pinch.,,,Damp,Prevents the use of self-destructing moves.
259,Marshtomp,Torrent,Powers up Water-type moves in a pinch.,,,Damp,Prevents the use of self-destructing moves.
260,Swampert,Torrent,Powers up Water-type moves in a pinch.,,,Damp,Prevents the use of self-destructing moves.
261,Poochyena,Run Away,Enables a sure getaway from wild Pokémon.,Quick Feet,Boosts Speed if there is a status problem.,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
262,Mightyena,Intimidate,Lowers the foe's Attack stat.,Quick Feet,Boosts Speed if there is a status problem.,Moxie,Boosts Attack after knocking out any Pokémon.
263,Zigzagoon,Pickup,The Pokémon may pick up items.,Gluttony,Encourages the early use of a held Berry.,Quick Feet,Boosts Speed if there is a status problem.
264,Linoone,Pickup,The Pokémon may pick up items.,Gluttony,Encourages the early use of a held Berry.,Quick Feet,Boosts Speed if there is a status problem.
265,Wurmple,Shield Dust,Blocks the added effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.
266,Silcoon,Shed Skin,The Pokémon may heal its own status problems.,,,,
267,Beautifly,Swarm,Powers up Bug-type moves in a pinch.,,,Rivalry,Deals more damage to a Pokémon of same gender.
268,Cascoon,Shed Skin,The Pokémon may heal its own status problems.,,,,
269,Dustox,Shield Dust,Blocks the added effects of attacks taken.,,,Compound Eyes,The Pokémon's accuracy is boosted.
270,Lotad,Swift Swim,Boosts the Pokémon's Speed in rain.,Rain Dish,The Pokémon gradually regains HP in rain.,Own Tempo,Prevents the Pokémon from becoming confused.
271,Lombre,Swift Swim,Boosts the Pokémon's Speed in rain.,Rain Dish,The Pokémon gradually regains HP in rain.,Own Tempo,Prevents the Pokémon from becoming confused.
272,Ludicolo,Swift Swim,Boosts the Pokémon's Speed in rain.,Rain Dish,The Pokémon gradually regains HP in rain.,Own Tempo,Prevents the Pokémon from becoming confused.
273,Seedot,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Early Bird,The Pokémon awakens quickly from sleep.,Pickpocket,Steals an item when hit by another Pokémon.
274,Nuzleaf,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Early Bird,The Pokémon awakens quickly from sleep.,Pickpocket,Steals an item when hit by another Pokémon.
275,Shiftry,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Early Bird,The Pokémon awakens quickly from sleep.,Pickpocket,Steals an item when hit by another Pokémon.
276,Taillow,Guts,Boosts Attack if there is a status problem.,,,Scrappy,Enables moves to hit Ghost-type Pokémon.
277,Swellow,Guts,Boosts Attack if there is a status problem.,,,Scrappy,Enables moves to hit Ghost-type Pokémon.
278,Wingull,Keen Eye,Prevents other Pokémon from lowering accuracy.,Hydration,Heals status problems if it is raining.,Rain Dish,The Pokémon gradually regains HP in rain.
279,Pelipper,Keen Eye,Prevents other Pokémon from lowering accuracy.,Drizzle,The Pokémon makes it rain when it enters a battle.,Rain Dish,The Pokémon gradually regains HP in rain.
280,Ralts,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Trace,The Pokémon copies a foe's Ability.,Telepathy,Anticipates an ally's attack and dodges it.
281,Kirlia,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Trace,The Pokémon copies a foe's Ability.,Telepathy,Anticipates an ally's attack and dodges it.
282,Gardevoir,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Trace,The Pokémon copies a foe's Ability.,Telepathy,Anticipates an ally's attack and dodges it.
283,Surskit,Swift Swim,Boosts the Pokémon's Speed in rain.,,,Rain Dish,The Pokémon gradually regains HP in rain.
284,Masquerain,Intimidate,Lowers the foe's Attack stat.,,,Unnerve,Makes the foe nervous and unable to eat Berries.
285,Shroomish,Effect Spore,Contact may poison or cause paralysis or sleep.,Poison Heal,Restores HP if the Pokémon is poisoned.,Quick Feet,Boosts Speed if there is a status problem.
286,Breloom,Effect Spore,Contact may poison or cause paralysis or sleep.,Poison Heal,Restores HP if the Pokémon is poisoned.,Technician,Powers up the Pokémon's weaker moves.
287,Slakoth,Truant,Pokémon can't attack on consecutive turns.,,,,
288,Vigoroth,Vital Spirit,Prevents the Pokémon from falling asleep.,,,,
289,Slaking,Truant,Pokémon can't attack on consecutive turns.,,,,
290,Nincada,Compound Eyes,The Pokémon's accuracy is boosted.,,,Run Away,Enables a sure getaway from wild Pokémon.
291,Ninjask,Speed Boost,Its Speed stat is gradually boosted.,,,Infiltrator,Passes through the foe's barrier and strikes.
292,Shedinja,Wonder Guard,Only supereffective moves will hit.,,,,
293,Whismur,Soundproof,Gives immunity to sound-based moves.,,,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
294,Loudred,Soundproof,Gives immunity to sound-based moves.,,,Scrappy,Enables moves to hit Ghost-type Pokémon.
295,Exploud,Soundproof,Gives immunity to sound-based moves.,,,Scrappy,Enables moves to hit Ghost-type Pokémon.
296,Makuhita,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Guts,Boosts Attack if there is a status problem.,Sheer Force,Removes added effects to increase move damage.
297,Hariyama,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Guts,Boosts Attack if there is a status problem.,Sheer Force,Removes added effects to increase move damage.
298,Azurill,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Huge Power,Raises the Pokémon's Attack stat.,Sap Sipper,Boosts Attack when hit by a Grass-type move.
299,Nosepass,Sturdy,It cannot be knocked out with one hit.,Magnet Pull,Prevents Steel-type Pokémon from escaping.,Sand Force,Boosts certain moves' power in a sandstorm.
300,Skitty,Cute Charm,Contact with the Pokémon may cause infatuation.,Normalize,All the Pokémon's moves become the Normal type.,Wonder Skin,Makes status-changing moves more likely to miss.
301,Delcatty,Cute Charm,Contact with the Pokémon may cause infatuation.,Normalize,All the Pokémon's moves become the Normal type.,Wonder Skin,Makes status-changing moves more likely to miss.
302,Sableye,Keen Eye,Prevents other Pokémon from lowering accuracy.,Stall,The Pokémon moves after all other Pokémon do.,Prankster,Gives priority to a status move.
303,Mawile,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Intimidate,Lowers the foe's Attack stat.,Sheer Force,Removes added effects to increase move damage.
304,Aron,Sturdy,It cannot be knocked out with one hit.,Rock Head,Protects the Pokémon from recoil damage.,Heavy Metal,Doubles the Pokémon's weight.
305,Lairon,Sturdy,It cannot be knocked out with one hit.,Rock Head,Protects the Pokémon from recoil damage.,Heavy Metal,Doubles the Pokémon's weight.
306,Aggron,Sturdy,It cannot be knocked out with one hit.,Rock Head,Protects the Pokémon from recoil damage.,Heavy Metal,Doubles the Pokémon's weight.
307,Meditite,Pure Power,Raises the Pokémon's Attack stat.,,,Telepathy,Anticipates an ally's attack and dodges it.
308,Medicham,Pure Power,Raises the Pokémon's Attack stat.,,,Telepathy,Anticipates an ally's attack and dodges it.
309,Electrike,Static,Contact with the Pokémon may cause paralysis.,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Minus,Ups Sp. Atk if another Pokémon has Plus or Minus.
310,Manectric,Static,Contact with the Pokémon may cause paralysis.,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Minus,Ups Sp. Atk if another Pokémon has Plus or Minus.
311,Plusle,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.,,,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.
312,Minun,Minus,Ups Sp. Atk if another Pokémon has Plus or Minus.,,,Volt Absorb,Restores HP if hit by an Electric-type move.
313,Volbeat,Illuminate,Raises the likelihood of meeting wild Pokémon.,Swarm,Powers up Bug-type moves in a pinch.,Prankster,Gives priority to a status move.
314,Illumise,Oblivious,Prevents it from becoming infatuated.,Tinted Lens,Powers up “not very effective” moves.,Prankster,Gives priority to a status move.
315,Roselia,Natural Cure,All status problems heal when it switches out.,Poison Point,Contact with the Pokémon may poison the attacker.,Leaf Guard,Prevents problems with status in sunny weather.
316,Gulpin,Liquid Ooze,Damages attackers using any draining move.,Sticky Hold,Protects the Pokémon from item theft.,Gluttony,Encourages the early use of a held Berry.
317,Swalot,Liquid Ooze,Damages attackers using any draining move.,Sticky Hold,Protects the Pokémon from item theft.,Gluttony,Encourages the early use of a held Berry.
318,Carvanha,Rough Skin,Inflicts damage to the attacker on contact.,,,Speed Boost,Its Speed stat is gradually boosted.
319,Sharpedo,Rough Skin,Inflicts damage to the attacker on contact.,,,Speed Boost,Its Speed stat is gradually boosted.
320,Wailmer,Water Veil,Prevents the Pokémon from getting a burn.,Oblivious,Prevents it from becoming infatuated.,Pressure,The Pokémon raises the foe's PP usage.
321,Wailord,Water Veil,Prevents the Pokémon from getting a burn.,Oblivious,Prevents it from becoming infatuated.,Pressure,The Pokémon raises the foe's PP usage.
322,Numel,Oblivious,Prevents it from becoming infatuated.,Simple,Doubles all stat changes.,Own Tempo,Prevents the Pokémon from becoming confused.
323,Camerupt,Magma Armor,Prevents the Pokémon from becoming frozen.,Solid Rock,Reduces damage from super-effective attacks.,Anger Point,Maxes Attack after taking a critical hit.
324,Torkoal,White Smoke,Prevents other Pokémon from lowering its stats.,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,Shell Armor,The Pokémon is protected against critical hits.
325,Spoink,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Own Tempo,Prevents the Pokémon from becoming confused.,Gluttony,Encourages the early use of a held Berry.
326,Grumpig,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Own Tempo,Prevents the Pokémon from becoming confused.,Gluttony,Encourages the early use of a held Berry.
327,Spinda,Own Tempo,Prevents the Pokémon from becoming confused.,Tangled Feet,Raises evasion if the Pokémon is confused.,Contrary,Makes stat changes have an opposite effect.
328,Trapinch,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Arena Trap,Prevents the foe from fleeing.,Sheer Force,Removes added effects to increase move damage.
329,Vibrava,Levitate,Gives immunity to Ground type moves.,,,,
330,Flygon,Levitate,Gives immunity to Ground type moves.,,,,
331,Cacnea,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,,,Water Absorb,Restores HP if hit by a Water-type move.
332,Cacturne,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,,,Water Absorb,Restores HP if hit by a Water-type move.
333,Swablu,Natural Cure,All status problems heal when it switches out.,,,Cloud Nine,Eliminates the effects of weather.
334,Altaria,Natural Cure,All status problems heal when it switches out.,,,Cloud Nine,Eliminates the effects of weather.
335,Zangoose,Immunity,Prevents the Pokémon from getting poisoned.,,,Toxic Boost,Powers up physical attacks when poisoned.
336,Seviper,Shed Skin,The Pokémon may heal its own status problems.,,,Infiltrator,Passes through the foe's barrier and strikes.
337,Lunatone,Levitate,Gives immunity to Ground type moves.,,,,
338,Solrock,Levitate,Gives immunity to Ground type moves.,,,,
339,Barboach,Oblivious,Prevents it from becoming infatuated.,Anticipation,Senses a foe's dangerous moves.,Hydration,Heals status problems if it is raining.
340,Whiscash,Oblivious,Prevents it from becoming infatuated.,Anticipation,Senses a foe's dangerous moves.,Hydration,Heals status problems if it is raining.
341,Corphish,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Shell Armor,The Pokémon is protected against critical hits.,Adaptability,Powers up moves of the same type.
342,Crawdaunt,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Shell Armor,The Pokémon is protected against critical hits.,Adaptability,Powers up moves of the same type.
343,Baltoy,Levitate,Gives immunity to Ground type moves.,,,,
344,Claydol,Levitate,Gives immunity to Ground type moves.,,,,
345,Lileep,Suction Cups,Negates all moves that force switching out.,,,Storm Drain,Draws in all Water-type moves to up Sp. Attack.
346,Cradily,Suction Cups,Negates all moves that force switching out.,,,Storm Drain,Draws in all Water-type moves to up Sp. Attack.
347,Anorith,Battle Armor,The Pokémon is protected against critical hits.,,,Swift Swim,Boosts the Pokémon's Speed in rain.
348,Armaldo,Battle Armor,The Pokémon is protected against critical hits.,,,Swift Swim,Boosts the Pokémon's Speed in rain.
349,Feebas,Swift Swim,Boosts the Pokémon's Speed in rain.,Oblivious,Prevents it from becoming infatuated.,Adaptability,Powers up moves of the same type.
350,Milotic,Marvel Scale,Ups Defense if there is a status problem.,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.,Cute Charm,Contact with the Pokémon may cause infatuation.
351,Castform,Forecast,Castform transforms with the weather.,,,,
352,Kecleon,Color Change,Changes the Pokémon's type to the foe's move.,,,Protean,Changes the Pokémon's type to its last used move.
353,Shuppet,Insomnia,Prevents the Pokémon from falling asleep.,Frisk,The Pokémon can check a foe's held item.,Cursed Body,May disable a move used on the Pokémon.
354,Banette,Insomnia,Prevents the Pokémon from falling asleep.,Frisk,The Pokémon can check a foe's held item.,Cursed Body,May disable a move used on the Pokémon.
355,Duskull,Levitate,Gives immunity to Ground type moves.,,,Frisk,The Pokémon can check a foe's held item.
356,Dusclops,Pressure,The Pokémon raises the foe's PP usage.,,,Frisk,The Pokémon can check a foe's held item.
357,Tropius,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases.",Harvest,May create another Berry after one is used.
358,Chimecho,Levitate,Gives immunity to Ground type moves.,,,,
359,Absol,Pressure,The Pokémon raises the foe's PP usage.,Super Luck,Heightens the critical-hit ratios of moves.,Justified,Raises Attack when hit by a Dark-type move.
360,Wynaut,Shadow Tag,Prevents the foe from escaping.,,,Telepathy,Anticipates an ally's attack and dodges it.
361,Snorunt,Inner Focus,The Pokémon is protected from flinching.,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Moody,Raises one stat and lowers another.
362,Glalie,Inner Focus,The Pokémon is protected from flinching.,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Moody,Raises one stat and lowers another.
363,Spheal,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Oblivious,Prevents it from becoming infatuated.
364,Sealeo,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Oblivious,Prevents it from becoming infatuated.
365,Walrein,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Oblivious,Prevents it from becoming infatuated.
366,Clamperl,Shell Armor,The Pokémon is protected against critical hits.,,,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
367,Huntail,Swift Swim,Boosts the Pokémon's Speed in rain.,,,Water Veil,Prevents the Pokémon from getting a burn.
368,Gorebyss,Swift Swim,Boosts the Pokémon's Speed in rain.,,,Hydration,Heals status problems if it is raining.
369,Relicanth,Swift Swim,Boosts the Pokémon's Speed in rain.,Rock Head,Protects the Pokémon from recoil damage.,Sturdy,It cannot be knocked out with one hit.
370,Luvdisc,Swift Swim,Boosts the Pokémon's Speed in rain.,,,Hydration,Heals status problems if it is raining.
371,Bagon,Rock Head,Protects the Pokémon from recoil damage.,,,Sheer Force,Removes added effects to increase move damage.
372,Shelgon,Rock Head,Protects the Pokémon from recoil damage.,,,Overcoat,Protects the Pokémon from weather damage.
373,Salamence,Intimidate,Lowers the foe's Attack stat.,,,Moxie,Boosts Attack after knocking out any Pokémon.
374,Beldum,Clear Body,Prevents other Pokémon from lowering its stats.,,,Light Metal,Halves the Pokémon's weight.
375,Metang,Clear Body,Prevents other Pokémon from lowering its stats.,,,Light Metal,Halves the Pokémon's weight.
376,Metagross,Clear Body,Prevents other Pokémon from lowering its stats.,,,Light Metal,Halves the Pokémon's weight.
377,Regirock,Clear Body,Prevents other Pokémon from lowering its stats.,,,Sturdy,It cannot be knocked out with one hit.
378,Regice,Clear Body,Prevents other Pokémon from lowering its stats.,,,Ice Body,The Pokémon gradually regains HP in a hailstorm.
379,Registeel,Clear Body,Prevents other Pokémon from lowering its stats.,,,Light Metal,Halves the Pokémon's weight.
380,Latias,Levitate,Gives immunity to Ground type moves.,,,,
381,Latios,Levitate,Gives immunity to Ground type moves.,,,,
382,Kyogre,Drizzle,The Pokémon makes it rain when it enters a battle.,,,,
383,Groudon,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,,,,
384,Rayquaza,Air Lock,Eliminates the effects of weather.,,,,
385,Jirachi,Serene Grace,Boosts the likelihood of added effects appearing.,,,,
386,Deoxys,Pressure,The Pokémon raises the foe's PP usage.,,,,
387,Turtwig,Overgrow,Powers up Grass-type moves in a pinch.,,,Shell Armor,The Pokémon is protected against critical hits.
388,Grotle,Overgrow,Powers up Grass-type moves in a pinch.,,,Shell Armor,The Pokémon is protected against critical hits.
389,Torterra,Overgrow,Powers up Grass-type moves in a pinch.,,,Shell Armor,The Pokémon is protected against critical hits.
390,Chimchar,Blaze,Powers up Fire-type moves in a pinch.,,,Iron Fist,Boosts the power of punching moves.
391,Monferno,Blaze,Powers up Fire-type moves in a pinch.,,,Iron Fist,Boosts the power of punching moves.
392,Infernape,Blaze,Powers up Fire-type moves in a pinch.,,,Iron Fist,Boosts the power of punching moves.
393,Piplup,Torrent,Powers up Water-type moves in a pinch.,,,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
394,Prinplup,Torrent,Powers up Water-type moves in a pinch.,,,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
395,Empoleon,Torrent,Powers up Water-type moves in a pinch.,,,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
396,Starly,Keen Eye,Prevents other Pokémon from lowering accuracy.,,,Reckless,Powers up moves that have recoil damage.
397,Staravia,Intimidate,Lowers the foe's Attack stat.,,,Reckless,Powers up moves that have recoil damage.
398,Staraptor,Intimidate,Lowers the foe's Attack stat.,,,Reckless,Powers up moves that have recoil damage.
399,Bidoof,Simple,Doubles all stat changes.,Unaware,Ignores any stat changes in the Pokémon.,Moody,Raises one stat and lowers another.
400,Bibarel,Simple,Doubles all stat changes.,Unaware,Ignores any stat changes in the Pokémon.,Moody,Raises one stat and lowers another.
401,Kricketot,Shed Skin,The Pokémon may heal its own status problems.,,,Run Away,Enables a sure getaway from wild Pokémon.
402,Kricketune,Swarm,Powers up Bug-type moves in a pinch.,,,Technician,Powers up the Pokémon's weaker moves.
403,Shinx,Rivalry,Deals more damage to a Pokémon of same gender.,Intimidate,Lowers the foe's Attack stat.,Guts,Boosts Attack if there is a status problem.
404,Luxio,Rivalry,Deals more damage to a Pokémon of same gender.,Intimidate,Lowers the foe's Attack stat.,Guts,Boosts Attack if there is a status problem.
405,Luxray,Rivalry,Deals more damage to a Pokémon of same gender.,Intimidate,Lowers the foe's Attack stat.,Guts,Boosts Attack if there is a status problem.
406,Budew,Natural Cure,All status problems heal when it switches out.,Poison Point,Contact with the Pokémon may poison the attacker.,Leaf Guard,Prevents problems with status in sunny weather.
407,Roserade,Natural Cure,All status problems heal when it switches out.,Poison Point,Contact with the Pokémon may poison the attacker.,Technician,Powers up the Pokémon's weaker moves.
408,Cranidos,Mold Breaker,Moves can be used regardless of Abilities.,,,Sheer Force,Removes added effects to increase move damage.
409,Rampardos,Mold Breaker,Moves can be used regardless of Abilities.,,,Sheer Force,Removes added effects to increase move damage.
410,Shieldon,Sturdy,It cannot be knocked out with one hit.,,,Soundproof,Gives immunity to sound-based moves.
